"","Files","Name","LLcode","Lat","NS","dex","LatMin","LatMax","LonMin","LonMax"
"292","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N03_20_2010LC030/N03_20_2010LC030_ATS.TIF","N03_20_2010LC030_ATS.TIF","N03_20",20,"N",3,20,25,-168,-162
"293","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N03_50_2010LC030/N03_50_2010LC030_ATS.TIF","N03_50_2010LC030_ATS.TIF","N03_50",50,"N",3,50,55,-168,-162
"294","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N03_55_2010LC030/N03_55_2010LC030_ATS.TIF","N03_55_2010LC030_ATS.TIF","N03_55",55,"N",3,55,60,-168,-162
"295","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N03_60_2010LC030/N03_60_2010LC030_ATS.TIF","N03_60_2010LC030_ATS.TIF","N03_60",60,"N",3,60,65,-168,-156
"296","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N03_65_2010LC030/N03_65_2010LC030_ATS.TIF","N03_65_2010LC030_ATS.TIF","N03_65",65,"N",3,65,70,-168,-156
"297","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N03_70_2010LC030/N03_70_2010LC030_ATS.TIF","N03_70_2010LC030_ATS.TIF","N03_70",70,"N",3,70,75,-168,-156
"298","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N04_15_2010LC030/N04_15_2010LC030_ATS.TIF","N04_15_2010LC030_ATS.TIF","N04_15",15,"N",4,15,20,-162,-156
"299","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N04_20_2010LC030/N04_20_2010LC030_ATS.TIF","N04_20_2010LC030_ATS.TIF","N04_20",20,"N",4,20,25,-162,-156
"300","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N04_55_2010LC030/N04_55_2010LC030_ATS.TIF","N04_55_2010LC030_ATS.TIF","N04_55",55,"N",4,55,60,-162,-156
"301","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N05_15_2010LC030/N05_15_2010LC030_ATS.TIF","N05_15_2010LC030_ATS.TIF","N05_15",15,"N",5,15,20,-156,-150
"302","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N05_20_2010LC030/N05_20_2010LC030_ATS.TIF","N05_20_2010LC030_ATS.TIF","N05_20",20,"N",5,20,25,-156,-150
"303","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N05_55_2010LC030/N05_55_2010LC030_ATS.TIF","N05_55_2010LC030_ATS.TIF","N05_55",55,"N",5,55,60,-156,-150
"304","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N05_60_2010LC030/N05_60_2010LC030_ATS.TIF","N05_60_2010LC030_ATS.TIF","N05_60",60,"N",5,60,65,-156,-144
"305","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N05_65_2010LC030/N05_65_2010LC030_ATS.TIF","N05_65_2010LC030_ATS.TIF","N05_65",65,"N",5,65,70,-156,-144
"306","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N05_70_2010LC030/N05_70_2010LC030_ATS.TIF","N05_70_2010LC030_ATS.TIF","N05_70",70,"N",5,70,75,-156,-144
"307","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N07_55_2010LC030/N07_55_2010LC030_ATS.TIF","N07_55_2010LC030_ATS.TIF","N07_55",55,"N",7,55,60,-144,-138
"308","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N07_60_2010LC030/N07_60_2010LC030_ATS.TIF","N07_60_2010LC030_ATS.TIF","N07_60",60,"N",7,60,65,-144,-132
"309","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N07_65_2010LC030/N07_65_2010LC030_ATS.TIF","N07_65_2010LC030_ATS.TIF","N07_65",65,"N",7,65,70,-144,-132
"310","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N07_70_2010LC030/N07_70_2010LC030_ATS.TIF","N07_70_2010LC030_ATS.TIF","N07_70",70,"N",7,70,75,-144,-132
"311","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N08_50_2010LC030/N08_50_2010LC030_ATS.TIF","N08_50_2010LC030_ATS.TIF","N08_50",50,"N",8,50,55,-138,-132
"312","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N08_55_2010LC030/N08_55_2010LC030_ATS.TIF","N08_55_2010LC030_ATS.TIF","N08_55",55,"N",8,55,60,-138,-132
"313","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N09_45_2010LC030/N09_45_2010LC030_ATS.TIF","N09_45_2010LC030_ATS.TIF","N09_45",45,"N",9,45,50,-132,-126
"314","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N09_50_2010LC030/N09_50_2010LC030_ATS.TIF","N09_50_2010LC030_ATS.TIF","N09_50",50,"N",9,50,55,-132,-126
"315","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N09_55_2010LC030/N09_55_2010LC030_ATS.TIF","N09_55_2010LC030_ATS.TIF","N09_55",55,"N",9,55,60,-132,-126
"316","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N09_60_2010LC030/N09_60_2010LC030_ATS.TIF","N09_60_2010LC030_ATS.TIF","N09_60",60,"N",9,60,65,-132,-120
"317","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N09_65_2010LC030/N09_65_2010LC030_ATS.TIF","N09_65_2010LC030_ATS.TIF","N09_65",65,"N",9,65,70,-132,-120
"318","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N09_70_2010LC030/N09_70_2010LC030_ATS.TIF","N09_70_2010LC030_ATS.TIF","N09_70",70,"N",9,70,75,-132,-120
"319","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N10_30_2010LC030/N10_30_2010LC030_ATS.TIF","N10_30_2010LC030_ATS.TIF","N10_30",30,"N",10,30,35,-126,-120
"320","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N10_35_2010LC030/N10_35_2010LC030_ATS.TIF","N10_35_2010LC030_ATS.TIF","N10_35",35,"N",10,35,40,-126,-120
"321","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N10_40_2010LC030/N10_40_2010LC030_ATS.TIF","N10_40_2010LC030_ATS.TIF","N10_40",40,"N",10,40,45,-126,-120
"322","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N10_45_2010LC030/N10_45_2010LC030_ATS.TIF","N10_45_2010LC030_ATS.TIF","N10_45",45,"N",10,45,50,-126,-120
"323","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N10_50_2010LC030/N10_50_2010LC030_ATS.TIF","N10_50_2010LC030_ATS.TIF","N10_50",50,"N",10,50,55,-126,-120
"324","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N10_55_2010LC030/N10_55_2010LC030_ATS.TIF","N10_55_2010LC030_ATS.TIF","N10_55",55,"N",10,55,60,-126,-120
"325","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_25_2010LC030/N11_25_2010LC030_ATS.TIF","N11_25_2010LC030_ATS.TIF","N11_25",25,"N",11,25,30,-120,-114
"326","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_30_2010LC030/N11_30_2010LC030_ATS.TIF","N11_30_2010LC030_ATS.TIF","N11_30",30,"N",11,30,35,-120,-114
"327","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_35_2010LC030/N11_35_2010LC030_ATS.TIF","N11_35_2010LC030_ATS.TIF","N11_35",35,"N",11,35,40,-120,-114
"328","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_40_2010LC030/N11_40_2010LC030_ATS.TIF","N11_40_2010LC030_ATS.TIF","N11_40",40,"N",11,40,45,-120,-114
"329","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_45_2010LC030/N11_45_2010LC030_ATS.TIF","N11_45_2010LC030_ATS.TIF","N11_45",45,"N",11,45,50,-120,-114
"330","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_50_2010LC030/N11_50_2010LC030_ATS.TIF","N11_50_2010LC030_ATS.TIF","N11_50",50,"N",11,50,55,-120,-114
"331","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_55_2010LC030/N11_55_2010LC030_ATS.TIF","N11_55_2010LC030_ATS.TIF","N11_55",55,"N",11,55,60,-120,-114
"332","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_60_2010LC030/N11_60_2010LC030_ATS.TIF","N11_60_2010LC030_ATS.TIF","N11_60",60,"N",11,60,65,-120,-108
"333","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_65_2010LC030/N11_65_2010LC030_ATS.TIF","N11_65_2010LC030_ATS.TIF","N11_65",65,"N",11,65,70,-120,-108
"334","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N11_70_2010LC030/N11_70_2010LC030_ATS.TIF","N11_70_2010LC030_ATS.TIF","N11_70",70,"N",11,70,75,-120,-108
